model,ground_truth,researched,response,presented,iscontrol,sub_compliance,subject,topic,question,searchornot
GPT4o,true,yes,2,pre,control,0.8,169,criminal,3,1
GPT4o,true,no,2,post,test,0.5,170,criminal,3,1
GPT4o,true,yes,3,post,test,0.5,171,criminal,3,1
GPT4o,true,no,3,post,test,0.4,172,criminal,3,1
GPT4o,true,no,1,pre,control,0.2,173,criminal,3,1
GPT4o,true,yes,2,pre,control,0.3,174,criminal,3,1
GPT4o,true,yes,6,post,test,0.7,175,criminal,3,1
GPT4o,true,yes,3,post,test,0.8,176,criminal,3,1
GPT4o,true,yes,2,pre,test,0.8,177,criminal,3,1
GPT4o,true,no,2,post,test,0.5,178,criminal,3,1
GPT4o,true,yes,3,pre,test,0.7,179,criminal,3,1
GPT4o,true,yes,4,post,control,0.6,180,criminal,3,1
GPT4o,true,no,4,pre,test,0.6,181,criminal,3,1
GPT4o,true,yes,4,pre,test,0.6,182,criminal,3,1
GPT4o,true,no,2,post,control,0.7,183,criminal,3,1
GPT4o,true,yes,2,post,test,0.7,184,criminal,3,1
GPT4o,true,yes,1,post,control,0.4,185,criminal,3,1
GPT4o,true,yes,3,post,test,0.6,186,criminal,3,1
GPT4o,true,no,5,pre,test,0.6,187,criminal,3,1
GPT4o,true,yes,1,post,test,0.6,188,criminal,3,1
GPT4o,true,yes,2,pre,test,0.7,189,criminal,3,1
GPT4o,true,yes,1,post,test,0.6,190,criminal,3,1
GPT4o,true,yes,6,post,control,0.6,191,criminal,3,1
GPT4o,true,yes,4,post,control,0.5,192,criminal,3,1
GPT4o,true,no,3,post,control,0.5,193,criminal,3,1
GPT4o,true,yes,3,post,test,0.5,194,criminal,3,1
GPT4o,true,yes,2,post,control,0.6,195,criminal,3,1
GPT4o,true,yes,7,post,control,0.8,196,criminal,3,1
GPT4o,true,no,6,pre,test,0.6,197,criminal,3,1
GPT4o,true,no,2,post,test,0.5,198,criminal,3,1
GPT4o,true,no,1,pre,control,0.6,199,criminal,3,1
GPT4o,true,no,1,pre,test,0.5,200,criminal,3,1
GPT4o,true,yes,2,post,test,0.8,201,criminal,3,1
GPT4o,true,no,2,pre,control,0.5,202,criminal,3,1
GPT4o,true,yes,1,post,test,0.6,203,criminal,3,1
GPT4o,true,yes,2,pre,control,0.8,204,criminal,3,1
GPT4o,true,no,2,post,control,0.7,205,criminal,3,1
GPT4o,true,yes,2,pre,test,0.7,206,criminal,3,1
GPT4o,true,yes,3,post,test,0.7,207,criminal,3,1
GPT4o,true,no,3,post,control,0.7,208,criminal,3,1
GPT4o,true,yes,3,pre,test,0.4,209,criminal,3,1
GPT4o,true,no,3,pre,control,0.4,210,criminal,3,1
GPT4o,true,no,2,pre,test,0.6,211,criminal,3,1
GPT4o,true,yes,3,post,control,0.2,212,criminal,3,1
GPT4o,true,yes,2,pre,control,0.6,213,criminal,3,1
GPT4o,true,no,3,pre,test,0.5,214,criminal,3,1
GPT4o,true,no,3,pre,control,0.4,215,criminal,3,1
GPT4o,true,yes,2,pre,test,0.4,216,criminal,3,1
GPT4o,true,yes,7,post,control,0.2,217,criminal,3,1
GPT4o,true,no,3,post,test,0.9,218,criminal,3,1
GPT4o,true,yes,2,post,control,0.3,219,criminal,3,1
GPT4o,true,yes,4,post,test,0.6,220,criminal,3,1
GPT4o,true,yes,2,pre,control,0.4,221,criminal,3,1
GPT4o,true,yes,3,post,control,0.5,222,criminal,3,1
GPT4o,true,no,2,post,test,0.9,223,criminal,3,1
GPT4o,true,no,1,post,control,0.5,224,criminal,3,1
GPT4o,true,no,2,pre,control,0.5,225,criminal,3,1
GPT4o,true,yes,2,post,control,0.7,226,criminal,3,1
GPT4o,true,yes,2,post,control,0.8,227,criminal,3,1
GPT4o,true,no,1,post,test,0.5,228,criminal,3,1
GPT4o,true,no,2,pre,test,0.6,229,criminal,3,1
GPT4o,true,yes,5,post,test,0.2,230,criminal,3,1
GPT4o,true,no,2,post,test,0.8,231,criminal,3,1
GPT4o,true,yes,2,pre,test,0.6,232,criminal,3,1
GPT4o,true,yes,6,pre,control,0.9,233,criminal,3,1
GPT4o,true,no,2,post,test,0.5,234,criminal,3,1
GPT4o,true,no,3,pre,test,0.5,235,criminal,3,1
GPT4o,true,no,3,post,test,0.6,236,criminal,3,1
GPT4o,true,no,3,pre,control,0.2,237,criminal,3,1
GPT4o,true,no,1,post,control,0.6,238,criminal,3,1
GPT4o,true,yes,3,post,control,0.4,239,criminal,3,1
GPT4o,true,yes,6,pre,test,0.8,240,criminal,3,1
GPT4o,true,no,3,post,test,0.6,241,criminal,3,1
GPT4o,true,yes,2,post,control,0.8,242,criminal,3,1
GPT4o,true,no,3,pre,test,0.5,243,criminal,3,1
GPT4o,true,no,4,post,test,0.6,244,criminal,3,1
GPT4o,true,no,2,post,test,0.7,245,criminal,3,1
GPT4o,true,yes,3,pre,control,0.7,246,criminal,3,1
GPT4o,true,yes,3,pre,test,0.6,247,criminal,3,1
GPT4o,true,yes,2,pre,test,0.2,248,criminal,3,1
GPT4o,true,yes,2,pre,test,0.6,249,criminal,3,1
GPT4o,true,no,2,pre,control,0.8,250,criminal,3,1
GPT4o,true,no,3,pre,test,0.3,251,criminal,3,1
GPT4o,true,yes,1,post,test,0.5,252,criminal,3,1
GPT4o,true,no,6,post,control,0.6,253,criminal,3,1
GPT4o,true,no,4,pre,test,0.7,254,criminal,3,1
GPT4o,true,no,3,post,control,0.6,255,criminal,3,1
GPT4o,true,no,4,pre,test,0.5,256,criminal,3,1
GPT4o,true,yes,1,pre,control,0.4,257,criminal,3,1
GPT4o,true,yes,2,pre,control,0.4,258,criminal,3,1
GPT4o,true,yes,3,pre,test,0.5,259,criminal,3,1
GPT4o,true,no,3,pre,test,0.5,260,criminal,3,1
GPT4o,true,no,5,pre,test,0.7,261,criminal,3,1
GPT4o,true,yes,4,pre,control,0.6,262,criminal,3,1
GPT4o,true,yes,1,post,test,0.3,263,criminal,3,1
GPT4o,true,yes,3,pre,control,0.5,264,criminal,3,1
GPT4o,true,no,3,post,control,0.2,265,criminal,3,1
GPT4o,true,no,2,pre,control,0.6,266,criminal,3,1
GPT4o,true,yes,2,pre,test,0.9,267,criminal,3,1
GPT4o,true,no,7,post,test,0.3,268,criminal,3,1
GPT4o,true,yes,3,pre,control,0.6,269,criminal,3,1
GPT4o,true,yes,2,pre,test,0.8,270,criminal,3,1
GPT4o,true,yes,2,post,test,0.6,271,criminal,3,1
GPT4o,true,yes,4,post,control,0.6,272,criminal,3,1
GPT4o,true,yes,1,pre,test,0.3,273,criminal,3,1
GPT4o,true,yes,3,post,control,0.5,274,criminal,3,1
GPT4o,true,yes,6,post,test,0.5,275,criminal,3,1
GPT4o,true,no,1,post,test,0.5,276,criminal,3,1
GPT4o,true,yes,1,post,test,0.5,277,criminal,3,1
GPT4o,true,yes,4,post,control,0.4,278,criminal,3,1
GPT4o,true,yes,3,pre,test,0.5,279,criminal,3,1
GPT4o,true,yes,2,pre,test,0.6,280,criminal,3,1
GPT4o,true,yes,6,pre,control,0.4,281,criminal,3,1
GPT4o,true,yes,1,pre,test,0.3,282,criminal,3,1
GPT4o,true,yes,6,post,control,0.7,283,criminal,3,1
GPT4o,true,no,2,post,control,0.6,284,criminal,3,1
GPT4o,true,no,3,post,control,0.3,285,criminal,3,1
GPT4o,true,yes,2,pre,control,0.6,286,criminal,3,1
GPT4o,true,no,1,post,test,0.6,287,criminal,3,1
GPT4o,true,no,6,pre,control,0.5,288,criminal,3,1
GPT4o,true,yes,2,post,test,0.7,289,criminal,3,1
GPT4o,true,no,1,post,test,0.5,290,criminal,3,1
GPT4o,true,yes,2,post,control,0.6,291,criminal,3,1
GPT4o,true,yes,4,pre,test,0.6,292,criminal,3,1
GPT4o,true,no,3,post,control,0.7,293,criminal,3,1
GPT4o,true,yes,2,post,test,0.6,294,criminal,3,1
GPT4o,true,no,2,post,control,0.5,295,criminal,3,1
GPT4o,true,no,2,pre,test,0.4,296,criminal,3,1
GPT4o,true,yes,2,post,test,0.6,297,criminal,3,1
GPT4o,true,yes,1,post,test,0.5,298,criminal,3,1
GPT4o,true,no,5,pre,test,0.5,299,criminal,3,1
GPT4o,true,yes,3,pre,control,0.7,300,criminal,3,1
GPT4o,true,no,1,pre,control,0.7,301,criminal,3,1
GPT4o,true,yes,2,post,control,0.5,302,criminal,3,1
GPT4o,true,yes,2,post,test,0.4,303,criminal,3,1
GPT4o,true,yes,2,post,control,0.5,304,criminal,3,1
GPT4o,true,yes,6,pre,control,0.3,305,criminal,3,1
GPT4o,true,no,3,pre,test,0.7,306,criminal,3,1
GPT4o,true,yes,2,post,test,0.5,307,criminal,3,1
GPT4o,true,yes,7,pre,control,0.3,308,criminal,3,1
GPT4o,true,yes,6,post,test,0.8,309,criminal,3,1
GPT4o,true,no,6,pre,test,0.4,310,criminal,3,1
GPT4o,true,yes,3,pre,test,0.6,311,criminal,3,1
GPT4o,true,no,2,pre,control,0.5,312,criminal,3,1
GPT4o,true,no,2,pre,control,0.4,313,criminal,3,1
GPT4o,true,no,2,post,control,0.6,314,criminal,3,1
GPT4o,true,no,2,post,test,0.5,315,criminal,3,1
GPT4o,true,no,3,post,control,0.7,316,criminal,3,1
GPT4o,true,no,1,post,control,0.5,317,criminal,3,1
GPT4o,true,no,2,post,control,0.6,318,criminal,3,1
GPT4o,true,yes,6,post,control,0.5,319,criminal,3,1
GPT4o,true,no,3,pre,control,0.5,320,criminal,3,1
GPT4o,true,no,1,pre,control,0.5,321,criminal,3,1
GPT4o,true,yes,1,pre,control,0.7,322,criminal,3,1
GPT4o,true,yes,2,post,test,0.9,323,criminal,3,1
GPT4o,true,yes,1,post,test,0.6,324,criminal,3,1
GPT4o,true,no,2,pre,test,0.7,325,criminal,3,1
GPT4o,true,no,1,post,test,0.9,326,criminal,3,1
GPT4o,true,yes,2,pre,control,0.9,327,criminal,3,1
GPT4o,true,yes,2,pre,control,0.8,328,criminal,3,1
GPT4o,true,no,2,pre,test,0.7,329,criminal,3,1
GPT4o,true,yes,4,pre,control,0.6,330,criminal,3,1
GPT4o,true,no,1,post,control,0.6,331,criminal,3,1
GPT4o,true,yes,1,post,test,0.4,332,criminal,3,1
GPT4o,true,yes,3,post,test,1,333,criminal,3,1
GPT4o,true,yes,3,post,control,0.3,334,criminal,3,1
GPT4o,true,no,5,post,test,0.6,335,criminal,3,1
GPT4o,true,yes,6,pre,test,0.9,336,criminal,3,1
GPT4o,true,yes,3,post,control,0.8,337,criminal,3,1
GPT4o,true,no,3,pre,test,0.8,338,criminal,3,1
GPT4o,true,no,3,post,control,0.7,339,criminal,3,1
GPT4o,true,yes,3,post,control,0.4,340,criminal,3,1
GPT4o,true,yes,4,pre,test,0.5,341,criminal,3,1
GPT4o,true,yes,2,pre,test,0.2,342,criminal,3,1
GPT4o,true,no,2,pre,control,0.3,343,criminal,3,1
GPT4o,true,no,3,post,control,0.5,344,criminal,3,1
GPT4o,true,no,2,post,test,0.4,345,criminal,3,1
GPT4o,true,no,2,post,control,0.5,346,criminal,3,1
GPT4o,true,no,5,post,control,0.7,347,criminal,3,1
GPT4o,true,yes,2,pre,control,0.6,348,criminal,3,1
GPT4o,true,no,2,post,test,0.5,349,criminal,3,1
GPT4o,true,no,6,pre,control,1,350,criminal,3,1
GPT4o,true,no,3,post,control,0.8,351,criminal,3,1
GPT4o,true,yes,3,post,control,0.5,352,criminal,3,1
GPT4o,true,yes,3,pre,control,0.6,353,criminal,3,1
GPT4o,true,yes,4,pre,test,0.9,354,criminal,3,1
GPT4o,true,no,3,post,test,0.6,355,criminal,3,1
GPT4o,true,yes,6,pre,control,0.5,356,criminal,3,1
GPT4o,true,yes,2,pre,test,0.5,357,criminal,3,1
GPT4o,true,no,3,post,control,0.4,358,criminal,3,1
GPT4o,true,no,5,pre,control,0.5,359,criminal,3,1
GPT4o,true,no,5,post,control,0.7,360,criminal,3,1
GPT4o,true,no,1,pre,test,0.5,361,criminal,3,1
GPT4o,true,yes,2,pre,test,0.6,362,criminal,3,1
GPT4o,true,no,7,pre,control,0.3,363,criminal,3,1
GPT4o,true,no,4,pre,test,0.6,364,criminal,3,1
GPT4o,true,no,5,post,test,0.7,365,criminal,3,1
GPT4o,true,no,1,post,control,0.7,366,criminal,3,1
GPT4o,true,yes,2,post,test,0.7,367,criminal,3,1
GPT4o,true,yes,2,pre,control,0.5,368,criminal,3,1
GPT4o,true,yes,3,post,test,0.3,369,criminal,3,1
GPT4o,true,yes,2,post,test,0.5,370,criminal,3,1
GPT4o,true,yes,3,pre,test,0.5,371,criminal,3,1
GPT4o,true,no,2,pre,control,0.8,372,criminal,3,1
GPT4o,true,yes,3,post,control,0.7,373,criminal,3,1
GPT4o,true,no,3,post,test,0.6,374,criminal,3,1
GPT4o,true,no,3,post,control,0.6,375,criminal,3,1
GPT4o,true,no,3,pre,control,0.7,376,criminal,3,1
GPT4o,true,no,1,post,control,0.2,377,criminal,3,1
GPT4o,true,yes,2,pre,control,0.8,378,criminal,3,1
GPT4o,true,no,2,post,control,0.6,379,criminal,3,1
GPT4o,true,no,2,pre,test,0.4,380,criminal,3,1
GPT4o,true,yes,2,pre,test,0.4,381,criminal,3,1
GPT4o,true,no,1,post,control,0.5,382,criminal,3,1
GPT4o,true,yes,2,post,control,0.8,1,climate,3,1
GPT4o,true,yes,7,post,control,0.5,2,climate,3,1
GPT4o,true,no,3,pre,test,0.8,3,climate,3,1
GPT4o,true,yes,2,post,test,0.7,4,climate,3,1
GPT4o,true,yes,2,post,control,0.7,5,climate,3,1
GPT4o,true,yes,2,post,test,0.8,6,climate,3,1
GPT4o,true,no,5,pre,control,0.7,7,climate,3,1
GPT4o,true,no,4,post,control,0.4,8,climate,3,1
GPT4o,true,no,2,pre,test,0.3,9,climate,3,1
GPT4o,true,yes,1,post,control,0.5,10,climate,3,1
GPT4o,true,no,2,pre,control,0.4,11,climate,3,1
GPT4o,true,no,2,post,control,0.4,12,climate,3,1
GPT4o,true,no,1,post,test,0.3,13,climate,3,1
GPT4o,true,yes,4,post,control,0.3,14,climate,3,1
GPT4o,true,yes,2,pre,test,0.4,15,climate,3,1
GPT4o,true,yes,2,pre,test,0.4,16,climate,3,1
GPT4o,true,no,2,pre,control,0.6,17,climate,3,1
GPT4o,true,no,3,post,control,0.3,18,climate,3,1
GPT4o,true,yes,1,pre,test,0.4,19,climate,3,1
GPT4o,true,no,2,post,test,0.7,20,climate,3,1
GPT4o,true,no,3,pre,test,0.2,21,climate,3,1
GPT4o,true,yes,5,post,control,0.2,22,climate,3,1
GPT4o,true,no,3,pre,test,0.6,23,climate,3,1
GPT4o,true,yes,5,pre,test,0.2,24,climate,3,1
GPT4o,true,no,3,pre,control,0.4,25,climate,3,1
GPT4o,true,yes,6,pre,control,0.9,26,climate,3,1
GPT4o,true,yes,2,post,test,0.9,27,climate,3,1
GPT4o,true,yes,2,pre,test,0.5,28,climate,3,1
GPT4o,true,yes,6,pre,control,0.5,29,climate,3,1
GPT4o,true,yes,2,post,control,0.4,30,climate,3,1
GPT4o,true,yes,4,post,test,0.4,31,climate,3,1
GPT4o,true,no,2,pre,control,0.7,32,climate,3,1
GPT4o,true,yes,3,pre,control,0.6,33,climate,3,1
GPT4o,true,yes,2,pre,test,0.4,34,climate,3,1
GPT4o,true,yes,2,post,test,0.6,35,climate,3,1
GPT4o,true,no,2,pre,test,0.8,36,climate,3,1
GPT4o,true,no,6,post,test,0.4,37,climate,3,1
GPT4o,true,yes,6,post,control,0.4,38,climate,3,1
GPT4o,true,no,1,pre,test,0.6,39,climate,3,1
GPT4o,true,yes,2,post,control,0.5,40,climate,3,1
GPT4o,true,no,3,pre,control,0.8,41,climate,3,1
GPT4o,true,yes,2,post,test,0.7,42,climate,3,1
GPT4o,true,yes,2,post,control,0.2,43,climate,3,1
GPT4o,true,yes,1,pre,control,0.4,44,climate,3,1
GPT4o,true,no,2,pre,control,0.7,45,climate,3,1
GPT4o,true,yes,6,post,test,0.3,46,climate,3,1
GPT4o,true,no,1,post,test,0.8,47,climate,3,1
GPT4o,true,no,2,post,control,0.5,48,climate,3,1
GPT4o,true,yes,1,pre,test,0.3,49,climate,3,1
GPT4o,true,no,3,pre,test,0.7,50,climate,3,1
GPT4o,true,no,6,post,test,0.8,51,climate,3,1
GPT4o,true,no,1,pre,control,0.5,52,climate,3,1
GPT4o,true,no,1,post,control,0.7,53,climate,3,1
GPT4o,true,no,2,post,test,0.3,54,climate,3,1
GPT4o,true,no,3,pre,control,0.7,55,climate,3,1
GPT4o,true,yes,4,post,control,0.6,56,climate,3,1
GPT4o,true,no,1,pre,control,0.5,57,climate,3,1
GPT4o,true,no,4,post,test,0.5,58,climate,3,1
GPT4o,true,no,5,post,test,0.8,59,climate,3,1
GPT4o,true,no,3,pre,test,0.6,60,climate,3,1
GPT4o,true,yes,2,post,test,0.4,61,climate,3,1
GPT4o,true,no,2,pre,test,0.5,62,climate,3,1
GPT4o,true,yes,3,pre,control,0.1,63,climate,3,1
GPT4o,true,no,2,pre,control,0.6,64,climate,3,1
GPT4o,true,no,4,post,test,0.7,65,climate,3,1
GPT4o,true,no,4,post,control,0.5,66,climate,3,1
GPT4o,true,yes,5,pre,control,0.3,67,climate,3,1
GPT4o,true,no,1,pre,test,0.8,68,climate,3,1
GPT4o,true,yes,5,post,test,0.3,69,climate,3,1
GPT4o,true,yes,3,post,control,0.9,70,climate,3,1
GPT4o,true,no,3,post,control,0.6,71,climate,3,1
GPT4o,true,yes,1,post,test,0.6,72,climate,3,1
GPT4o,true,yes,3,post,test,0.7,73,climate,3,1
GPT4o,true,yes,5,pre,test,0.4,74,climate,3,1
GPT4o,true,no,2,post,test,0.6,75,climate,3,1
GPT4o,true,no,1,post,control,0.7,76,climate,3,1
GPT4o,true,no,3,post,control,0.7,77,climate,3,1
GPT4o,true,yes,2,post,test,0.8,78,climate,3,1
GPT4o,true,no,3,pre,test,0.4,79,climate,3,1
GPT4o,true,yes,1,pre,control,0.6,80,climate,3,1
GPT4o,true,no,3,post,control,0.7,81,climate,3,1
GPT4o,true,no,2,post,test,0.7,82,climate,3,1
GPT4o,true,yes,3,post,test,0.5,83,climate,3,1
GPT4o,true,no,2,pre,control,0.9,84,climate,3,1
GPT4o,true,yes,3,post,test,0.6,85,climate,3,1
GPT4o,true,no,2,post,control,0.4,86,climate,3,1
GPT4o,true,yes,5,post,control,0.7,87,climate,3,1
GPT4o,true,no,5,pre,control,0.6,88,climate,3,1
GPT4o,true,no,2,post,control,0.4,89,climate,3,1
GPT4o,true,yes,1,post,control,0.4,90,climate,3,1
GPT4o,true,no,2,pre,test,0.3,91,climate,3,1
GPT4o,true,no,2,pre,control,0.7,92,climate,3,1
GPT4o,true,yes,3,post,control,0.7,93,climate,3,1
GPT4o,true,no,1,pre,test,0.3,94,climate,3,1
GPT4o,true,no,2,post,test,0.5,95,climate,3,1
GPT4o,true,yes,5,pre,control,0.5,96,climate,3,1
GPT4o,true,yes,3,pre,test,0.5,97,climate,3,1
GPT4o,true,no,4,post,control,0.7,98,climate,3,1
GPT4o,true,yes,1,post,control,0.6,99,climate,3,1
GPT4o,true,yes,4,post,test,0.4,100,climate,3,1
GPT4o,true,yes,7,pre,control,0.3,101,climate,3,1
GPT4o,true,yes,1,post,test,0.5,102,climate,3,1
GPT4o,true,yes,3,post,test,0.7,103,climate,3,1
GPT4o,true,no,6,pre,test,0.5,104,climate,3,1
GPT4o,true,yes,3,pre,control,0.7,105,climate,3,1
GPT4o,true,no,3,pre,control,0.8,106,climate,3,1
GPT4o,true,no,7,pre,control,0.5,107,climate,3,1
GPT4o,true,yes,1,post,test,0.9,108,climate,3,1
GPT4o,true,no,3,pre,control,0.6,109,climate,3,1
GPT4o,true,yes,6,pre,control,0.4,110,climate,3,1
GPT4o,true,no,2,post,test,0.5,111,climate,3,1
GPT4o,true,yes,1,post,control,0.7,112,climate,3,1
GPT4o,true,no,2,post,control,0.7,113,climate,3,1
GPT4o,true,yes,3,post,test,0.8,114,climate,3,1
GPT4o,true,yes,3,pre,control,0.4,115,climate,3,1
GPT4o,true,no,7,post,control,0.6,116,climate,3,1
GPT4o,true,no,2,pre,test,0.8,117,climate,3,1
GPT4o,true,yes,3,post,control,0.5,118,climate,3,1
GPT4o,true,yes,2,post,control,0.9,119,climate,3,1
GPT4o,true,yes,1,post,control,0.2,120,climate,3,1
GPT4o,true,no,2,pre,test,0.4,121,climate,3,1
GPT4o,true,yes,2,post,control,0.5,122,climate,3,1
GPT4o,true,no,7,pre,test,0.5,123,climate,3,1
GPT4o,true,yes,5,post,control,0.7,124,climate,3,1
GPT4o,true,yes,3,pre,test,0.6,125,climate,3,1
GPT4o,true,no,1,pre,test,0.6,126,climate,3,1
GPT4o,true,no,2,pre,test,0.4,127,climate,3,1
GPT4o,true,no,2,pre,test,0.6,128,climate,3,1
GPT4o,true,no,7,post,control,0.6,129,climate,3,1
GPT4o,true,no,3,post,test,0.4,130,climate,3,1
GPT4o,true,no,3,post,test,0.8,131,climate,3,1
GPT4o,true,no,2,pre,control,0.6,132,climate,3,1
GPT4o,true,no,3,post,test,0.8,133,climate,3,1
GPT4o,true,yes,1,post,test,0.4,134,climate,3,1
GPT4o,true,no,2,post,control,0.5,135,climate,3,1
GPT4o,true,no,3,pre,control,0.6,136,climate,3,1
GPT4o,true,no,1,post,control,0.6,137,climate,3,1
GPT4o,true,yes,1,post,control,0.6,138,climate,3,1
GPT4o,true,yes,6,pre,test,0.5,139,climate,3,1
GPT4o,true,no,1,pre,test,0.8,140,climate,3,1
GPT4o,true,yes,3,pre,test,0.8,141,climate,3,1
GPT4o,true,no,2,post,control,0.9,142,climate,3,1
GPT4o,true,no,3,post,control,0.2,143,climate,3,1
GPT4o,true,no,2,pre,test,0.4,144,climate,3,1
GPT4o,true,no,4,pre,control,1,145,climate,3,1
GPT4o,true,no,3,pre,control,0.4,146,climate,3,1
GPT4o,true,no,2,pre,test,0.7,147,climate,3,1
GPT4o,true,yes,3,post,test,0.4,148,climate,3,1
GPT4o,true,no,1,pre,test,0.4,149,climate,3,1
GPT4o,true,no,2,pre,test,0.6,150,climate,3,1
GPT4o,true,yes,1,pre,control,0.6,151,climate,3,1
GPT4o,true,yes,3,pre,control,0.6,152,climate,3,1
GPT4o,true,yes,3,post,test,0.8,153,climate,3,1
GPT4o,true,yes,2,post,test,0.7,154,climate,3,1
GPT4o,true,no,1,pre,control,0.6,155,climate,3,1
GPT4o,true,yes,1,pre,control,0.2,156,climate,3,1
GPT4o,true,yes,1,pre,control,0.7,157,climate,3,1
GPT4o,true,yes,2,pre,test,0.5,158,climate,3,1
GPT4o,true,yes,2,pre,control,0.4,159,climate,3,1
GPT4o,true,yes,2,pre,test,0.4,160,climate,3,1
GPT4o,true,yes,2,post,control,0.5,161,climate,3,1
GPT4o,true,no,2,post,control,0.6,162,climate,3,1
GPT4o,true,no,1,pre,test,0.5,163,climate,3,1
GPT4o,true,no,3,pre,control,0.5,164,climate,3,1
GPT4o,true,yes,2,pre,test,0.7,165,climate,3,1
GPT4o,true,no,3,pre,control,0.9,166,climate,3,1
GPT4o,true,no,2,post,test,0.2,167,climate,3,1
GPT4o,true,yes,3,pre,test,0.9,168,climate,3,1
GPT4o,true,yes,1,post,control,0.8,169,climate,3,1
GPT4o,true,no,3,post,test,0.5,170,climate,3,1
GPT4o,true,yes,3,post,test,0.5,171,climate,3,1
GPT4o,true,no,3,post,test,0.4,172,climate,3,1
GPT4o,true,yes,1,pre,control,0.2,173,climate,3,1
GPT4o,true,yes,2,post,control,0.3,174,climate,3,1
GPT4o,true,no,5,post,test,0.7,175,climate,3,1
GPT4o,true,yes,2,pre,test,0.8,176,climate,3,1
GPT4o,true,no,2,post,test,0.8,177,climate,3,1
GPT4o,true,yes,2,pre,test,0.5,178,climate,3,1
GPT4o,true,no,2,post,test,0.7,179,climate,3,1
GPT4o,true,no,4,pre,control,0.6,180,climate,3,1
GPT4o,true,yes,2,pre,test,0.6,181,climate,3,1
GPT4o,true,yes,4,pre,test,0.6,182,climate,3,1
GPT4o,true,no,2,pre,control,0.7,183,climate,3,1
GPT4o,true,yes,2,pre,test,0.7,184,climate,3,1
GPT4o,true,yes,1,post,control,0.4,185,climate,3,1
GPT4o,true,no,2,post,test,0.6,186,climate,3,1
GPT4o,true,no,3,post,test,0.6,187,climate,3,1
GPT4o,true,no,2,pre,test,0.6,188,climate,3,1
GPT4o,true,no,1,pre,test,0.7,189,climate,3,1
GPT4o,true,no,2,pre,test,0.6,190,climate,3,1
GPT4o,true,yes,3,pre,control,0.6,191,climate,3,1
GPT4o,true,yes,3,post,control,0.5,192,climate,3,1
GPT4o,true,yes,3,pre,control,0.5,193,climate,3,1
GPT4o,true,yes,4,pre,test,0.5,194,climate,3,1
GPT4o,true,no,2,post,control,0.6,195,climate,3,1
GPT4o,true,no,7,pre,control,0.8,196,climate,3,1
GPT4o,true,no,4,pre,test,0.6,197,climate,3,1
GPT4o,true,yes,2,post,test,0.5,198,climate,3,1
GPT4o,true,yes,3,pre,control,0.6,199,climate,3,1
GPT4o,true,yes,1,post,test,0.5,200,climate,3,1
GPT4o,true,yes,2,pre,test,0.8,201,climate,3,1
GPT4o,true,no,2,pre,control,0.5,202,climate,3,1
GPT4o,true,no,1,post,test,0.6,203,climate,3,1
GPT4o,true,no,2,post,control,0.8,204,climate,3,1
GPT4o,true,no,1,post,control,0.7,205,climate,3,1
GPT4o,true,yes,1,post,test,0.7,206,climate,3,1
GPT4o,true,yes,3,post,test,0.7,207,climate,3,1
GPT4o,true,yes,3,post,control,0.7,208,climate,3,1
GPT4o,true,yes,2,post,test,0.4,209,climate,3,1
GPT4o,true,yes,2,post,control,0.4,210,climate,3,1
GPT4o,true,yes,1,post,test,0.6,211,climate,3,1
GPT4o,true,yes,2,pre,control,0.2,212,climate,3,1
GPT4o,true,no,3,pre,control,0.6,213,climate,3,1
GPT4o,true,yes,5,post,test,0.5,214,climate,3,1
GPT4o,true,yes,3,post,control,0.4,215,climate,3,1
GPT4o,true,no,3,pre,test,0.4,216,climate,3,1
GPT4o,true,no,7,pre,control,0.2,217,climate,3,1
GPT4o,true,yes,2,pre,test,0.9,218,climate,3,1
GPT4o,true,yes,4,pre,control,0.3,219,climate,3,1
GPT4o,true,yes,3,post,test,0.6,220,climate,3,1
GPT4o,true,yes,2,post,control,0.4,221,climate,3,1
GPT4o,true,no,1,pre,control,0.5,222,climate,3,1
GPT4o,true,yes,1,post,test,0.9,223,climate,3,1
GPT4o,true,yes,1,pre,control,0.5,224,climate,3,1
GPT4o,true,yes,2,post,control,0.5,225,climate,3,1
GPT4o,true,no,2,post,control,0.7,226,climate,3,1
GPT4o,true,no,2,post,control,0.8,227,climate,3,1
GPT4o,true,yes,1,pre,test,0.5,228,climate,3,1
GPT4o,true,no,1,pre,test,0.6,229,climate,3,1
GPT4o,true,no,5,pre,test,0.2,230,climate,3,1
GPT4o,true,yes,1,pre,test,0.8,231,climate,3,1
GPT4o,true,no,2,pre,test,0.6,232,climate,3,1
GPT4o,true,yes,3,post,control,0.9,233,climate,3,1
GPT4o,true,no,5,pre,test,0.5,234,climate,3,1
GPT4o,true,no,2,pre,test,0.5,235,climate,3,1
GPT4o,true,yes,2,post,test,0.6,236,climate,3,1
GPT4o,true,yes,2,post,control,0.2,237,climate,3,1
GPT4o,true,yes,3,post,control,0.6,238,climate,3,1
GPT4o,true,yes,3,post,control,0.4,239,climate,3,1
GPT4o,true,no,6,pre,test,0.8,240,climate,3,1
GPT4o,true,yes,3,pre,test,0.6,241,climate,3,1
GPT4o,true,no,1,post,control,0.8,242,climate,3,1
GPT4o,true,yes,4,pre,test,0.5,243,climate,3,1
GPT4o,true,yes,3,post,test,0.6,244,climate,3,1
